,Session Title/Poster Group,Poster #,Presentation Time,Title,Author(s),Paper ID
646,,81,10:00,LVIS: A Dataset for Large Vocabulary Instance Segmentation,Agrim Gupta; Piotr Dollár; Ross Girshick,2328
647,,82,10:00,Fast Object Class Labelling via Speech,Michael Gygli; Vittorio Ferrari,2392
648,,83,10:00,LaSOT: A High-Quality Benchmark for Large-Scale Single Object Tracking,Heng Fan; Liting Lin; Fan Yang; Peng Chu; Ge Deng; Sijia Yu; Hexin Bai; Yong Xu; Chunyuan Liao; Haibin Ling,2421
649,,84,10:00,Creative Flow+ Dataset,Maria Shugrina; Ziheng Liang; Amlan Kar; Jiaman Li; Angad Singh; Karan Singh; Sanja Fidler,2596
650,,85,10:00,Weakly Supervised Open-Set Domain Adaptation by Dual-Domain Collaboration,Shuhan Tan; Jiening Jiao; Wei-Shi Zheng,2693
651,,86,10:00,A Neurobiological Evaluation Metric for Neural Network Model Search,Nathaniel Blanchard; Jeffery Kinnison; Brandon RichardWebster; Pouya Bashivan; Walter J. Scheirer,2729
652,,87,10:00,Iterative Projection and Matching: Finding Structure-Preserving Representatives and Its Application to Computer Vision,Alireza Zaeemzadeh; Mohsen Joneidi; Nazanin Rahnavard; Mubarak Shah,2944
653,,88,10:00,Efficient Multi-Domain Learning by Covariance Normalization,Yunsheng Li; Nuno Vasconcelos,2971
654,,89,10:00,Predicting Visible Image Differences Under Varying Display Brightness and Viewing Distance,Nanyang Ye; Krzysztof Wolski; Rafał K. Mantiuk,3056
655,,90,10:00,A Bayesian Perspective on the Deep Image Prior,Zezhou Cheng; Matheus Gadelha; Subhransu Maji; Daniel Sheldon,3060
656,,91,10:00,ApolloCar3D: A Large 3D Car Instance Understanding Benchmark for Autonomous Driving,Xibin Song; Peng Wang; Dingfu Zhou; Rui Zhu; Chenye Guan; Yuchao Dai; Hao Su; Hongdong Li; Ruigang Yang,3193
657,,92,10:00,Compressing Unknown Images With Product Quantizer for Efficient Zero-Shot Classification,Jin Li; Xuguang Lan; Yang Liu; Le Wang; Nanning Zheng,3223
658,,93,10:00,Self-Supervised Convolutional Subspace Clustering Network,Junjian Zhang; Chun-Guang Li; Chong You; Xianbiao Qi; Honggang Zhang; Jun Guo; Zhouchen Lin,3260
659,3D Multiview,94,10:00,Multi-Scale Geometric Consistency Guided Multi-View Stereo,Qingshan Xu; Wenbing Tao,2374
660,,95,10:00,Privacy Preserving Image-Based Localization,Pablo Speciale; Johannes L. Schönberger; Sing Bing Kang; Sudipta N. Sinha; Marc Pollefeys,2426
661,,96,10:00,SimulCap : Single-View Human Performance Capture With Cloth Simulation,Tao Yu; Zerong Zheng; Yuan Zhong; Jianhui Zhao; Qionghai Dai; Gerard Pons-Moll; Yebin Liu,2455
662,,97,10:00,Hierarchical Deep Stereo Matching on High-Resolution Images,Gengshan Yang; Joshua Manela; Michael Happold; Deva Ramanan,2471
663,,98,10:00,Recurrent MVSNet for High-Resolution Multi-View Stereo Depth Inference,Yao Yao; Zixin Luo; Shiwei Li; Tianwei Shen; Tian Fang; Long Quan,2491
