,Paper ID,Title,Author(s)
79,3502,A Prior-Less Method for Multi-Face Tracking in Unconstrained Videos,Chung-Ching Lin ; Ying Hung 
80,1264,End-to-End Flow Correlation Tracking With Spatial-Temporal Attention,Zheng Zhu ; Wei Wu ; Wei Zou ; Junjie Yan 
81,77,Deep Texture Manifold for Ground Terrain Recognition,Jia Xue ; Hang Zhang ; Kristin Dana 
82,102,Learning Superpixels With Segmentation-Aware Affinity Loss,Wei-Chih Tu ; Ming-Yu Liu ; Varun Jampani ; Deqing Sun ; Shao-Yi Chien ; Ming-Hsuan Yang ; Jan Kautz 
83,147,Interactive Image Segmentation With Latent Diversity,Zhuwen Li ; Qifeng Chen ; Vladlen Koltun 
84,299,The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,Richard Zhang ; Phillip Isola ; Alexei A. Efros ; Eli Shechtman ; Oliver Wang 
85,368,Local Descriptors Optimized for Average Precision,Kun He ; Yan Lu ; Stan Sclaroff 
86,695,Recovering Realistic Texture in Image Super-Resolution by Deep Spatial Feature Transform,Xintao Wang ; Ke Yu ; Chao Dong ; Chen Change Loy 
87,899,Deep Extreme Cut: From Extreme Points to Object Segmentation,Kevis-Kokitsi Maninis ; Sergi Caelles ; Jordi Pont-Tuset ; Luc Van Gool 
88,1446,Learning to Parse Wireframes in Images of Man-Made Environments,Kun Huang ; Yifan Wang ; Zihan Zhou ; Tianjiao Ding ; Shenghua Gao ; Yi Ma 
89,1800,Occlusion-Aware Rolling Shutter Rectification of 3D Scenes,Subeesh Vasu ; Mahesh Mohan M. R. ; A. N. Rajagopalan 
90,2102,Content-Sensitive Supervoxels via Uniform Tessellations on Video Manifolds,Ran Yi ; Yong-Jin Liu ; Yu-Kun Lai 
91,2451,Intrinsic Image Transformation via Scale Space Decomposition,Lechao Cheng ; Chengyi Zhang ; Zicheng Liao 
92,2834,Learned Shape-Tailored Descriptors for Segmentation,Naeemullah Khan ; Ganesh Sundaramoorthi 
93,3286,PAD-Net: Multi-Tasks Guided Prediction-and-Distillation Network for Simultaneous Depth Estimation and Scene Parsing,Dan Xu ; Wanli Ouyang ; Xiaogang Wang ; Nicu Sebe 
94,3629,Multi-Image Semantic Matching by Mining Consistent Features,Qianqian Wang ; Xiaowei Zhou ; Kostas Daniilidis 
95,48,Density-Aware Single Image De-Raining Using a Multi-Stream Dense Network,He Zhang ; Vishal M. Patel 
96,851,Joint Cuts and Matching of Partitions in One Graph,Tianshu Yu ; Junchi Yan ; Jieyi Zhao ; Baoxin Li 
97,1235,Progressive Attention Guided Recurrent Network for Salient Object Detection,Xiaoning Zhang ; Tiantian Wang ; Jinqing Qi ; Huchuan Lu ; Gang Wang 
98,1315,Fast and Accurate Single Image Super-Resolution via Information Distillation Network,Zheng Hui ; Xiumei Wang ; Xinbo Gao 
99,1335,Hallucinated-IQA: No-Reference Image Quality Assessment via Adversarial Learning,Kwan-Yee Lin ; Guanxiang Wang 
100,135,NAG: Network for Adversary Generation,Konda Reddy Mopuri ; Utkarsh Ojha ; Utsav Garg ; R. Venkatesh Babu 
101,319,Dynamic-Structured Semantic Propagation Network,Xiaodan Liang ; Hongfei Zhou ; Eric Xing 
102,408,Cross-Domain Self-Supervised Multi-Task Feature Learning Using Synthetic Imagery,Zhongzheng Ren ; Yong Jae Lee 
103,473,A Two-Step Disentanglement Method,Naama Hadad ; Lior Wolf ; Moni Shahar 
104,978,Robust Facial Landmark Detection via a Fully-Convolutional Local-Global Context Network,Daniel Merget ; Matthias Rock ; Gerhard Rigoll 
105,1134,Decorrelated Batch Normalization,Lei Huang ; Dawei Yang ; Bo Lang ; Jia Deng 
106,1185,Learning to Sketch With Shortcut Cycle Consistency,Jifei Song ; Kaiyue Pang ; Yi-Zhe Song ; Tao Xiang ; Timothy M. Hospedales 
107,1462,Towards a Mathematical Understanding of the Difficulty in Learning With Feedforward Neural Networks,Hao Shen 
108,2021,FaceID-GAN: Learning a Symmetry Three-Player GAN for Identity-Preserving Face Synthesis,Yujun Shen ; Ping Luo ; Junjie Yan ; Xiaogang Wang ; Xiaoou Tang 
109,2135,A Constrained Deep Neural Network for Ordinal Regression,Yanzhu Liu ; Adams Wai Kin Kong ; Chi Keong Goh 
110,2542,Modulated Convolutional Networks,Xiaodi Wang ; Baochang Zhang ; Ce Li ; Rongrong Ji ; Jungong Han ; Xianbin Cao ; Jianzhuang Liu 
111,3214,Learning Steerable Filters for Rotation Equivariant CNNs,Maurice Weiler ; Fred A. Hamprecht ; Martin Storath 
112,3409,Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++,David Acuna ; Huan Ling ; Amlan Kar ; Sanja Fidler 
113,3827,SplineCNN: Fast Geometric Deep Learning With Continuous B-Spline Kernels,Matthias Fey ; Jan Eric Lenssen ; Frank Weichert ; Heinrich MÃ¼ller 
114,4208,GAGAN: Geometry-Aware Generative Adversarial Networks,Jean Kossaifi ; Linh Tran ; Yannis Panagakis ; Maja Pantic 
115,261,On the Robustness of Semantic Segmentation Models to Adversarial Attacks,Anurag Arnab ; Ondrej Miksik ; Philip H.S. Torr 
116,618,Feedback-Prop: Convolutional Neural Network Inference Under Partial Evidence,Tianlu Wang ; Kota Yamaguchi ; Vicente Ordonez 
117,1035,Super-Resolving Very Low-Resolution Face Images With Supplementary Attributes,Xin Yu ; Basura Fernando ; Richard Hartley ; Fatih Porikli 
118,19,Frustum PointNets for 3D Object Detection From RGB-D Data,Charles R. Qi ; Wei Liu ; Chenxia Wu ; Hao Su ; Leonidas J. Guibas 
119,165,W2F: A Weakly-Supervised to Fully-Supervised Framework for Object Detection,Yongqiang Zhang ; Yancheng Bai ; Mingli Ding ; Yongqiang Li ; Bernard Ghanem 
120,179,3D Object Detection With Latent Support Surfaces,Zhile Ren ; Erik B. Sudderth 
121,475,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization,Peihua Li ; Jiangtao Xie ; Qilong Wang ; Zilin Gao 
122,534,Recurrent Scene Parsing With Perspective Understanding in the Loop,Shu Kong ; Charless C. Fowlkes 
123,620,Improving Occlusion and Hard Negative Handling for Single-Stage Pedestrian Detectors,Junhyug Noh ; Soochan Lee ; Beomsu Kim ; Gunhee Kim 
124,631,Learning to Act Properly: Predicting and Explaining Affordances From Images,Ching-Yao Chuang ; Jiaman Li ; Antonio Torralba ; Sanja Fidler 
125,649,Pointwise Convolutional Neural Networks,Binh-Son Hua ; Minh-Khoi Tran ; Sai-Kit Yeung 
126,948,Image-Image Domain Adaptation With Preserved Self-Similarity and Domain-Dissimilarity for Person Re-Identification,Weijian Deng ; Liang Zheng ; Qixiang Ye ; Guoliang Kang ; Yi Yang ; Jianbin Jiao 
127,1019,A Generative Adversarial Approach for Zero-Shot Learning From Noisy Texts,Yizhe Zhu ; Mohamed Elhoseiny ; Bingchen Liu ; Xi Peng ; Ahmed Elgammal 
128,1219,"Tensorize, Factorize and Regularize: Robust Visual Relationship Learning",Seong Jae Hwang ; Sathya N. Ravi ; Zirui Tao ; Hyunwoo J. Kim ; Maxwell D. Collins ; Vikas Singh 
129,1369,Transductive Unbiased Embedding for Zero-Shot Learning,Jie Song ; Chengchao Shen ; Yezhou Yang ; Yang Liu ; Mingli Song 
130,2307,Hierarchical Novelty Detection for Visual Object Recognition,Kibok Lee ; Kimin Lee ; Kyle Min ; Yuting Zhang ; Jinwoo Shin ; Honglak Lee 
131,2517,Zero-Shot Visual Recognition Using Semantics-Preserving Adversarial Embedding Networks,Long Chen ; Hanwang Zhang ; Jun Xiao ; Wei Liu ; Shih-Fu Chang 
132,2813,Learning Rich Features for Image Manipulation Detection,Peng Zhou ; Xintong Han ; Vlad I. Morariu ; Larry S. Davis 
133,2828,Human Semantic Parsing for Person Re-Identification,Mahdi M. Kalayeh ; Emrah Basaran ; Muhittin GÃ¶kmen ; Mustafa E. Kamasak ; Mubarak Shah 
134,2916,Stacked Latent Attention for Multimodal Reasoning,Haoqi Fan ; Jiatong Zhou 
135,3392,R-FCN-3000 at 30fps: Decoupling Detection and Classification,Bharat Singh ; Hengduo Li ; Abhishek Sharma ; Larry S. Davis 
136,3727,CSRNet: Dilated Convolutional Neural Networks for Understanding the Highly Congested Scenes,Yuhong Li ; Xiaofan Zhang ; Deming Chen 
137,3739,Revisiting Knowledge Transfer for Training Object Class Detectors,Jasper Uijlings ; Stefan Popov ; Vittorio Ferrari 
138,1672,Deep Sparse Coding for Invariant Multimodal Halle Berry Neurons,Edward Kim ; Darryl Hannan ; Garrett Kenyon 
139,3993,On the Convergence of PatchMatch and Its Variants,Thibaud Ehret ; Pablo Arias 
140,24,Rethinking the Faster R-CNN Architecture for Temporal Action Localization,Yu-Wei Chao ; Sudheendra Vijayanarasimhan ; Bryan Seybold ; David A. Ross ; Jia Deng ; Rahul Sukthankar 
141,224,MoNet: Deep Motion Exploitation for Video Object Segmentation,Huaxin Xiao ; Jiashi Feng ; Guosheng Lin ; Yu Liu ; Maojun Zhang 
142,329,Video Representation Learning Using Discriminative Pooling,Jue Wang ; Anoop Cherian ; Fatih Porikli ; Stephen Gould 
143,346,Recognizing Human Actions as the Evolution of Pose Estimation Maps,Mengyuan Liu ; Junsong Yuan 
144,1036,Video Person Re-Identification With Competitive Snippet-Similarity Aggregation and Co-Attentive Snippet Embedding,Dapeng Chen ; Hongsheng Li ; Tong Xiao ; Shuai Yi ; Xiaogang Wang 
145,1085,Mask-Guided Contrastive Attention Model for Person Re-Identification,Chunfeng Song ; Yan Huang ; Wanli Ouyang ; Liang Wang 
146,1550,Blazingly Fast Video Object Segmentation With Pixel-Wise Metric Learning,Yuhua Chen ; Jordi Pont-Tuset ; Alberto Montes ; Luc Van Gool 
147,431,Learning to Compare: Relation Network for Few-Shot Learning,Flood Sung ; Yongxin Yang ; Li Zhang ; Tao Xiang ; Philip H.S. Torr ; Timothy M. Hospedales 
148,735,COCO-Stuff: Thing and Stuff Classes in Context,Holger Caesar ; Jasper Uijlings ; Vittorio Ferrari 
149,764,Image Generation From Scene Graphs,Justin Johnson ; Agrim Gupta ; Li Fei-Fei 
150,1381,Deep Cauchy Hashing for Hamming Space Retrieval,Yue Cao ; Mingsheng Long ; Bin Liu ; Jianmin Wang 
151,1598,Learning to Look Around: Intelligently Exploring Unseen Environments for Unknown Tasks,Dinesh Jayaraman ; Kristen Grauman 
152,1620,Multi-Scale Location-Aware Kernel Representation for Object Detection,Hao Wang ; Qilong Wang ; Mingqi Gao ; Peihua Li ; Wangmeng Zuo 
153,1717,Clinical Skin Lesion Diagnosis Using Representations Inspired by Dermatologist Criteria,Jufeng Yang ; Xiaoxiao Sun ; Jie Liang ; Paul L. Rosin 
154,2318,Compare and Contrast: Learning Prominent Visual Differences,Steven Chen ; Kristen Grauman 
155,2752,"Multi-Evidence Filtering and Fusion for Multi-Label Classification, Object Detection and Semantic Segmentation Based on Weakly Supervised Learning",Weifeng Ge ; Sibei Yang ; Yizhou Yu 
156,313,HashGAN: Deep Learning to Hash With Pair Conditional Wasserstein GAN,Yue Cao ; Bin Liu ; Mingsheng Long ; Jianmin Wang 
157,425,Min-Entropy Latent Model for Weakly Supervised Object Detection,Fang Wan ; Pengxu Wei ; Jianbin Jiao ; Zhenjun Han ; Qixiang Ye 
158,594,MAttNet: Modular Attention Network for Referring Expression Comprehension,Licheng Yu ; Zhe Lin ; Xiaohui Shen ; Jimei Yang ; Xin Lu ; Mohit Bansal ; Tamara L. Berg 
159,842,AttnGAN: Fine-Grained Text to Image Generation With Attentional Generative Adversarial Networks,Tao Xu ; Pengchuan Zhang ; Qiuyuan Huang ; Han Zhang ; Zhe Gan ; Xiaolei Huang ; Xiaodong He 
160,927,Adversarial Complementary Learning for Weakly Supervised Object Localization,Xiaolin Zhang ; Yunchao Wei ; Jiashi Feng ; Yi Yang ; Thomas S. Huang 
161,961,Conditional Generative Adversarial Network for Structured Domain Adaptation,Weixiang Hong ; Zhenzhen Wang ; Ming Yang ; Junsong Yuan 
162,1186,GroupCap: Group-Based Image Captioning With Structured Relevance and Diversity Constraints,Fuhai Chen ; Rongrong Ji ; Xiaoshuai Sun ; Yongjian Wu ; Jinsong Su 
163,1303,Weakly-Supervised Semantic Segmentation by Iteratively Mining Common Object Features,Xiang Wang ; Shaodi You ; Xi Li ; Huimin Ma 
164,1401,Bootstrapping the Performance of Webly Supervised Semantic Segmentation,Tong Shen ; Guosheng Lin ; Chunhua Shen ; Ian Reid 
165,1564,DeepVoting: A Robust and Explainable Deep Network for Semantic Part Detection Under Partial Occlusion,Zhishuai Zhang ; Cihang Xie ; Jianyu Wang ; Lingxi Xie ; Alan L. Yuille 
166,1653,Geometry-Aware Scene Text Detection With Instance Transformation Network,Fangfang Wang ; Liming Zhao ; Xi Li ; Xinchao Wang ; Dacheng Tao 
167,2566,Optical Flow Guided Feature: A Fast and Robust Motion Representation for Video Action Recognition,Shuyang Sun ; Zhanghui Kuang ; Lu Sheng ; Wanli Ouyang ; Wei Zhang 
168,391,Motion-Guided Cascaded Refinement Network for Video Object Segmentation,Ping Hu ; Gang Wang ; Xiangfei Kong ; Jason Kuen ; Yap-Peng Tan 
169,619,A Memory Network Approach for Story-Based Temporal Summarization of 360Â° Videos,Sangho Lee ; Jinyoung Sung ; Youngjae Yu ; Gunhee Kim 
170,700,Cube Padding for Weakly-Supervised Saliency Prediction in 360Â° Videos,Hsien-Tzu Cheng ; Chun-Hung Chao ; Jin-Dong Dong ; Hao-Kai Wen ; Tyng-Luh Liu ; Min Sun 
171,2777,Appearance-and-Relation Networks for Video Classification,Limin Wang ; Wei Li ; Wen Li ; Luc Van Gool 
172,316,Excitation Backprop for RNNs,Sarah Adel Bargal ; Andrea Zunino ; Donghyun Kim ; Jianming Zhang ; Vittorio Murino ; Stan Sclaroff 
173,1037,One-Shot Action Localization by Learning Sequence Matching Network,Hongtao Yang ; Xuming He ; Fatih Porikli 
174,1178,Structure Preserving Video Prediction,Jingwei Xu ; Bingbing Ni ; Zefan Li ; Shuo Cheng ; Xiaokang Yang 
175,1860,Person Re-Identification With Cascaded Pairwise Convolutions,Yicheng Wang ; Zhenzhong Chen ; Feng Wu ; Gang Wang 
176,1110,On the Importance of Label Quality for Semantic Segmentation,Aleksandar Zlateski ; Ronnachai Jaroensri ; Prafull Sharma ; FrÃ©do Durand 
177,1124,Scalable and Effective Deep CCA via Soft Decorrelation,Xiaobin Chang ; Tao Xiang ; Timothy M. Hospedales 
178,1172,Duplex Generative Adversarial Network for Unsupervised Domain Adaptation,Lanqing Hu ; Meina Kan ; Shiguang Shan ; Xilin Chen 
179,1288,Edit Probability for Scene Text Recognition,Fan Bai ; Zhanzhan Cheng ; Yi Niu ; Shiliang Pu ; Shuigeng Zhou 
180,1552,Global Versus Localized Generative Adversarial Nets,Guo-Jun Qi ; Liheng Zhang ; Hao Hu ; Marzieh Edraki ; Jingdong Wang ; Xian-Sheng Hua 
181,1622,MoCoGAN: Decomposing Motion and Content for Video Generation,Sergey Tulyakov ; Ming-Yu Liu ; Xiaodong Yang ; Jan Kautz 
182,1640,Recurrent Residual Module for Fast Inference in Videos,Bowen Pan ; Wuwei Lin ; Xiaolin Fang ; Chaoqin Huang ; Bolei Zhou ; Cewu Lu 
183,2285,Improving Landmark Localization With Semi-Supervised Learning,Sina Honari ; Pavlo Molchanov ; Stephen Tyree ; Pascal Vincent ; Christopher Pal ; Jan Kautz 
184,2313,Adversarial Data Programming: Using GANs to Relax the Bottleneck of Curated Labeled Data,Arghya Pal ; Vineeth N. Balasubramanian 
